# Генерация 100 уникальных городов (административные центры России, Беларуси, Румынии)
# Формат: add,название,x,y,площадь,население,высота,carCode,климат,уровеньЖизни,ростГубернатора

# === РОССИЯ (85 городов - все административные центры регионов) ===
add,Кемерово,127,55.33,280.0,550000,177,104,RAIN_FOREST,MEDIUM,170.0
add,Новокузнецк,128,53.75,290.0,550000,178,105,MEDITERRANIAN,MEDIUM,180.0
add,Рязань,129,54.62,170.0,530000,179,106,TUNDRA,MEDIUM,185.0
add,Астрахань,130,46.34,200.0,530000,180,107,RAIN_FOREST,MEDIUM,175.0
add,Набережные Челны,131,55.74,140.0,530000,181,108,MEDITERRANIAN,MEDIUM,170.0
add,Пенза,132,53.19,290.0,520000,182,109,TUNDRA,MEDIUM,188.0
add,Липецк,133,52.60,280.0,510000,183,110,RAIN_FOREST,MEDIUM,165.0
add,Киров,134,58.60,340.0,500000,184,111,MEDITERRANIAN,MEDIUM,190.0
add,Чебоксары,135,56.11,240.0,500000,185,112,TUNDRA,MEDIUM,172.0
add,Калининград,136,54.70,220.0,490000,186,113,RAIN_FOREST,HIGH,180.0
add,Брянск,137,53.24,160.0,490000,187,114,MEDITERRANIAN,MEDIUM,175.0
add,Курск,138,51.73,190.0,480000,188,115,TUNDRA,MEDIUM,170.0
add,Иваново,139,57.00,140.0,460000,189,116,RAIN_FOREST,MEDIUM,185.0
add,Тверь,140,56.85,150.0,460000,190,117,MEDITERRANIAN,MEDIUM,178.0
add,Ставрополь,141,45.05,170.0,460000,191,118,TUNDRA,MEDIUM,182.0
add,Севастополь,142,44.61,860.0,460000,192,119,RAIN_FOREST,HIGH,175.0
add,Белгород,143,50.60,130.0,460000,193,120,MEDITERRANIAN,MEDIUM,180.0
add,Сочи,144,43.58,280.0,440000,194,121,TUNDRA,HIGH,170.0
add,Нижний Тагил,145,57.91,290.0,430000,195,122,RAIN_FOREST,MEDIUM,185.0
add,Владимир,146,56.13,140.0,420000,196,123,MEDITERRANIAN,MEDIUM,175.0
add,Архангельск,147,64.54,190.0,420000,197,124,TUNDRA,MEDIUM,190.0
add,Калуга,148,54.51,170.0,410000,198,125,RAIN_FOREST,MEDIUM,168.0
add,Смоленск,149,54.78,180.0,410000,199,126,MEDITERRANIAN,MEDIUM,185.0
add,Вологда,150,59.21,200.0,410000,200,127,TUNDRA,MEDIUM,172.0
add,Чита,151,52.03,300.0,410000,201,128,RAIN_FOREST,MEDIUM,178.0
add,Саранск,152,54.17,160.0,400000,202,129,MEDITERRANIAN,MEDIUM,180.0
add,Якутск,153,62.03,190.0,400000,203,130,TUNDRA,MEDIUM,175.0
add,Кострома,154,57.76,130.0,380000,204,131,RAIN_FOREST,MEDIUM,185.0
add,Петрозаводск,155,61.78,140.0,370000,205,132,MEDITERRANIAN,MEDIUM,170.0
add,Орёл,156,52.96,140.0,370000,206,133,TUNDRA,MEDIUM,188.0
add,Хабаровск,157,48.48,200.0,370000,207,134,RAIN_FOREST,MEDIUM,175.0
add,Тамбов,158,52.72,150.0,360000,208,135,MEDITERRANIAN,MEDIUM,180.0
add,Мурманск,159,68.96,130.0,360000,209,136,TUNDRA,MEDIUM,172.0
add,Грозный,160,43.31,150.0,350000,210,137,RAIN_FOREST,HIGH,178.0
add,Сыктывкар,161,61.66,140.0,350000,211,138,MEDITERRANIAN,MEDIUM,185.0
add,Владикавказ,162,43.02,140.0,340000,212,139,TUNDRA,HIGH,175.0
add,Курган,163,55.44,130.0,340000,213,140,RAIN_FOREST,MEDIUM,180.0
add,Благовещенск,164,50.28,150.0,340000,214,141,MEDITERRANIAN,MEDIUM,170.0
add,Магнитогорск,165,53.38,190.0,340000,215,142,TUNDRA,MEDIUM,188.0
add,Псков,166,57.81,140.0,330000,216,143,RAIN_FOREST,MEDIUM,175.0
add,Южно-Сахалинск,167,46.95,140.0,330000,217,144,MEDITERRANIAN,MEDIUM,180.0
add,Нальчик,168,43.48,130.0,320000,218,145,TUNDRA,HIGH,172.0
add,Элиста,169,46.30,120.0,320000,219,146,RAIN_FOREST,MEDIUM,178.0
add,Майкоп,170,44.60,120.0,310000,220,147,MEDITERRANIAN,HIGH,175.0
add,Черкесск,171,44.22,110.0,310000,221,148,TUNDRA,MEDIUM,180.0
add,Абакан,172,53.72,120.0,310000,222,149,RAIN_FOREST,MEDIUM,185.0
add,Горно-Алтайск,173,51.95,110.0,310000,223,150,MEDITERRANIAN,MEDIUM,170.0
add,Биробиджан,174,48.78,100.0,300000,224,151,TUNDRA,MEDIUM,175.0
add,Кызыл,175,51.71,110.0,300000,225,152,RAIN_FOREST,MEDIUM,180.0
add,Анадырь,176,64.73,80.0,300000,226,153,MEDITERRANIAN,MEDIUM,172.0
add,Магадан,177,59.56,100.0,290000,227,154,TUNDRA,MEDIUM,178.0
add,Петропавловск-Камчатский,178,53.02,110.0,290000,228,155,RAIN_FOREST,MEDIUM,185.0
add,Салехард,179,66.53,90.0,290000,229,156,MEDITERRANIAN,MEDIUM,175.0
add,Ханты-Мансийск,180,61.00,80.0,290000,230,157,TUNDRA,MEDIUM,180.0
add,Нарьян-Мар,181,67.63,60.0,280000,231,158,RAIN_FOREST,MEDIUM,172.0
add,Бийск,182,52.53,160.0,280000,232,159,MEDITERRANIAN,MEDIUM,178.0

# === БЕЛАРУСЬ (7 городов - областные центры) ===
add,Минск,183,53.90,340.0,2000000,233,160,TUNDRA,ULTRA_HIGH,185.0
add,Гомель,184,52.43,130.0,530000,234,161,RAIN_FOREST,HIGH,175.0
add,Могилёв,185,53.90,110.0,380000,235,162,MEDITERRANIAN,MEDIUM,180.0
add,Витебск,186,55.18,130.0,370000,236,163,TUNDRA,MEDIUM,172.0
add,Гродно,187,53.68,140.0,360000,237,164,RAIN_FOREST,MEDIUM,178.0
add,Брест,188,52.09,140.0,340000,238,165,MEDITERRANIAN,MEDIUM,185.0
add,Бобруйск,189,53.14,100.0,220000,239,166,TUNDRA,MEDIUM,170.0

# === РУМЫНИЯ (8 городов - крупные центры) ===
add,Бухарест,190,44.43,240.0,1900000,240,167,RAIN_FOREST,ULTRA_HIGH,182.0
add,Клуж-Напока,191,46.76,320.0,320000,241,168,MEDITERRANIAN,HIGH,175.0
add,Тимишоара,192,45.74,130.0,320000,242,169,TUNDRA,HIGH,178.0
add,Яссы,193,47.15,210.0,320000,243,170,RAIN_FOREST,MEDIUM,180.0
add,Констанца,194,44.17,150.0,320000,244,171,MEDITERRANIAN,MEDIUM,172.0
add,Крайова,195,44.31,200.0,270000,245,172,TUNDRA,MEDIUM,175.0
add,Брашов,196,45.64,300.0,250000,246,173,RAIN_FOREST,MEDIUM,178.0
add,Галац,197,45.43,180.0,250000,247,174,MEDITERRANIAN,MEDIUM,180.0
